PART_ID,Session_name,Trial_no,Stim_type,Delay,Reaction time,Correctness,key
8M20,Trening,0,nogo_left,10,-1.0,1,no_key
8M20,Trening,1,go_left,10,0.5847503000404686,1,d
8M20,Trening,2,go_left,10,0.45151719998102635,1,d
8M20,Trening,3,go_left,10,0.4006645999616012,1,d
8M20,Trening,4,go_right,10,0.3509824000066146,1,k
8M20,Trening,5,go_right,10,0.3341602999716997,1,k
8M20,Trening,6,go_left,10,0.5011886999709532,1,d
8M20,Trening,7,go_right,10,0.5344758999999613,1,k
8M20,Trening,8,go_right,10,0.5342910999897867,1,k
8M20,Trening,9,go_left,10,0.5501967000309378,1,d
8M20,Trening,10,go_left,10,0.5508753000758588,1,d
8M20,Trening,11,go_left,10,0.5516992999473587,1,d
8M20,Trening,12,go_right,10,0.5335883999941871,1,k
8M20,Trening,13,go_left,10,0.5516364000504836,1,d
8M20,Trening,14,go_right,10,0.6674458999186754,1,k
8M20,Eksperyment,15,go_right,10,0.6001188000664115,1,k
8M20,Eksperyment,16,go_right,10,0.48545489995740354,1,k
8M20,Eksperyment,17,go_right,10,0.46671289997175336,1,k
8M20,Eksperyment,18,go_left,10,0.5671093000564724,1,d
8M20,Eksperyment,19,go_right,10,0.6003614999353886,1,k
8M20,Eksperyment,20,go_right,10,0.6672114999964833,1,k
8M20,Eksperyment,21,go_left,10,0.7666478999890387,1,d
8M20,Eksperyment,22,go_right,10,0.7520968000171706,1,k
8M20,Eksperyment,23,go_right,10,-1.0,0,no_key
8M20,Eksperyment,24,go_left,10,-1.0,0,no_key
8M20,Eksperyment,25,go_left,10,-1.0,0,no_key
8M20,Eksperyment,26,go_left,10,0.8005209000548348,1,d
8M20,Eksperyment,27,go_left,10,0.7846918000141159,1,d
8M20,Eksperyment,28,go_left,10,0.6671789999818429,1,d
8M20,Eksperyment,29,go_right,10,0.7977592999814078,1,k
8M20,Eksperyment,30,go_left,10,-1.0,0,no_key
8M20,Eksperyment,31,go_right,10,-1.0,0,no_key
8M20,Eksperyment,32,go_right,10,0.6186159000499174,1,k
8M20,Eksperyment,33,go_right,10,0.6343190000625327,1,k
8M20,Eksperyment,34,go_right,10,0.6849919999949634,1,k
8M20,Eksperyment,35,go_right,10,0.6672666999511421,1,k
8M20,Eksperyment,36,go_left,10,0.3331653999630362,1,d
8M20,Eksperyment,37,go_right,10,0.5524758000392467,0,f7
8M20,Eksperyment,38,go_right,10,0.1519737000344321,0,f7
8M20,Eksperyment,39,go_left,10,-1.0,0,no_key
8M20,Eksperyment,40,go_right,10,-1.0,0,no_key
8M20,Eksperyment,41,go_right,10,-1.0,0,no_key
8M20,Eksperyment,42,go_left,10,-1.0,0,no_key
8M20,Eksperyment,43,go_right,10,-1.0,0,no_key
8M20,Eksperyment,44,go_left,10,0.1010171000380069,0,f7
